id,id_disciplina,id_professor
326,ENM0130,193
327,ENM0130,174
328,ENM0130,183
329,ENM0130,201
330,ENM0130,191
331,ENM0130,184
332,ENM0130,175
333,ENM0130,198
334,ENM0130,202
335,ENM0130,206
336,ENM0130,197
337,ENM0130,200
338,ENM0130,188
339,ENM0130,172
340,ENM0130,171
341,ENM0130,192
342,ENM0130,213
343,ENM0130,173
344,ENM0130,180
345,ENM0130,88
346,ENM0130,212
347,ENM0130,179
348,ENM0130,215
349,ENM0130,176
350,ENM0131,218
351,ENM0131,201
352,ENM0131,213
353,ENM0132,201
354,ENM0134,99
355,ENM0140,219
356,ENM0140,215
357,ENM0142,211
358,ENM0143,187
359,ENM0145,216
360,ENM0145,216
361,ENM0146,209
362,ENM0146,209
363,ENM0157,188
364,ENM0159,219
365,ENM0160,210
366,ENM0164,175
367,ENM0164,212
368,ENM0165,176
369,ENM0165,212
370,ENM0168,218
371,ENM0171,220
372,ENM0171,220
373,ENM0172,221
374,ENM0173,193
375,ENM0173,207
376,ENM0174,205
377,ENM0176,179
378,ENM0190,213
379,ENM0190,201
380,ENM0190,211
381,ENM0192,177
382,ENM0280,192
383,ENM0282,209
384,ENM0284,211
385,ELA0007,223
386,ELA0007,224
387,ELA0007,225
388,ELA0008,226
389,ELA0008,227
390,ELA0008,226
391,ELA0008,223
392,ELA0012,228
393,ELA0013,229
394,ELA0013,222
395,ELA0013,227
396,ELA0014,230
397,ELA0014,229
398,ELA0117,224
399,ELA0117,231
400,ELA0117,231
401,FAR0001,232
402,FAR0002,233
403,FAR0002,234
404,FAR0002,235
405,FAR0002,234
406,FAR0002,233
407,FAR0002,235
408,FAR0003,236
409,FAR0003,237
410,FAR0003,238
411,FAR0004,239
412,FAR0004,240
413,FAR0004,241
414,FAR0004,239
415,FAR0004,240
416,FAR0004,241
417,FAR0006,242
418,FAR0006,243
419,FAR0006,242
420,FAR0006,242
421,FAR0006,243
422,FAR0006,243
423,FAR0006,242
424,FAR0006,243
425,FAR0006,243
426,FAR0006,242
427,FAR0007,236
428,FAR0007,244
429,FAR0009,238
430,FAR0009,244
431,FAR0016,246
432,FAR0016,247
433,FAR0017,248
434,FAR0017,247
435,FAR0018,249
436,FAR0018,250
437,FAR0018,246
438,FAR0019,251
439,FAR0019,236
440,FAR0019,234
441,FAR0019,233
442,FAR0019,245
443,FAR0019,252
444,FAR0021,252
445,FAR0021,252
446,FAR0023,249
447,FAR0023,246
448,FAR0024,253
449,FAR0024,254
450,FAR0024,254
451,FAR0024,253
452,FAR0028,245
453,FAR0031,255
454,FAR0031,256
455,FAR0031,257
456,FAR0035,232
457,FAR0035,258
458,FAR0035,259
459,FAR0042,260
460,FAR0048,262
461,FAR0048,263
462,FAR0050,265
463,FAR0050,266
464,FAR0050,266
465,FAR0050,267
466,FAR0050,267
